1 1:0.508967 2:1.026089 3:-0.59935 4:-0.627322 5:-0.645698 6:-0.876083 7:0.730202 8:0.317231
1 1:0.543549 2:0.637879 3:-0.605763 4:-0.623551 5:-0.632605 6:-0.85243 7:0.334769 8:-0.038241
1 1:1.726567 2:0.796947 3:-1.053601 4:-0.622608 5:-0.639121 6:-0.950729 7:0.619638 8:0.305012
1 1:1.084391 2:1.426524 3:-0.804974 4:-0.691754 5:-0.476041 6:0.020932 7:-0.26584 8:-0.479747
-1 1:-0.279779 2:-0.775862 3:-0.185882 4:-0.263047 5:-0.184356 6:0.6159 7:-0.712281 8:-0.639703
-1 1:-1.429019 2:-0.858783 3:1.304592 4:0.896771 5:4.112245 6:0.762814 7:-1.602085 8:-0.65967
-1 1:-1.811027 2:-0.741658 3:1.629987 4:1.325344 5:0.675368 6:0.36414 7:-0.842635 8:-0.647735
-1 1:-0.12396 2:-0.556843 3:0.044115 4:-0.242787 5:-0.226013 6:0.535409 7:-0.61715 8:-0.607589
1 1:1.064085 2:0.914941 3:-0.929236 4:-0.641304 5:-0.643237 6:-0.976242 7:0.6398 8:0.329705
-1 1:-0.182668 2:-0.45115 3:-0.152866 4:-0.320753 5:-0.511828 6:-0.13833 7:-0.168385 8:-0.426846
1 1:0.426332 2:1.190547 3:-0.606085 4:-0.626493 5:-0.654816 6:-1.129036 7:1.166093 8:1.24777
1 1:0.311529 2:0.99533 3:-0.598459 4:-0.628376 5:-0.663107 6:-1.100625 7:1.238589 8:1.145371
-1 1:-1.943323 2:-1.214449 3:2.162499 4:2.243492 5:2.159293 6:1.116511 7:-1.207915 8:-0.690833
-1 1:-1.152968 2:-1.199028 3:1.007054 4:0.935209 5:1.417885 6:1.894693 7:-1.158224 8:-0.7006
-1 1:0.087753 2:0.12553 3:-0.428495 4:-0.546768 5:-0.616366 6:-0.738405 7:0.206803 8:-0.159715
1 1:0.203562 2:0.09695 3:-0.460834 4:-0.524985 5:-0.587377 6:-0.602291 7:0.063641 8:-0.254605
1 1:0.891377 2:-0.312398 3:-0.615708 4:-0.537238 5:-0.662845 6:-0.965625 7:1.127871 8:0.734879
-1 1:-1.874762 2:-1.209451 3:1.909133 4:1.84639 5:3.538175 6:0.226519 7:-1.33607 8:-0.676118
-1 1:-1.239021 2:-1.272701 3:1.241853 4:1.158325 5:1.683769 6:1.477473 7:-1.212483 8:-0.69584
-1 1:-1.747493 2:-1.325865 3:2.347383 4:2.718283 5:1.640356 6:0.647982 7:-0.950427 8:-0.674629
-1 1:-0.863447 2:-1.27294 3:1.059584 4:0.801158 5:0.368674 6:1.4071 7:-0.883769 8:-0.673041
1 1:1.098264 2:0.516295 3:-0.950548 4:-0.633541 5:-0.638193 6:-1.024425 7:0.518822 8:0.309302
-1 1:-2.025756 2:-1.116812 3:2.266479 4:2.492491 5:1.983604 6:1.311652 7:-1.169658 8:-0.697292
-1 1:0.367624 2:0.24014 3:-0.603963 4:-0.586113 5:-0.599178 6:-0.691708 7:0.025942 8:-0.283999
-1 1:-0.774379 2:0.75035 3:0.306388 4:-0.249953 5:-0.113083 6:0.618494 7:-0.717661 8:-0.634655
1 1:0.534702 2:-0.378966 3:-0.631895 4:-0.568248 5:-0.689897 6:-1.21796 7:3.041251 8:4.001322
1 1:1.334506 2:1.063089 3:-0.862041 4:-0.665983 5:1.026867 6:1.827999 7:-1.135476 8:-0.703654
1 1:0.52103 2:1.051535 3:-0.767467 4:-0.670285 5:-0.65879 6:-0.909048 7:0.990817 8:0.545678
1 1:0.894192 2:0.191587 3:-0.685975 4:-0.582694 5:-0.655502 6:-1.012976 7:1.1192 8:0.891304
-1 1:-1.114164 2:-1.632586 3:1.455995 4:1.57105 5:-0.112519 6:0.788277 7:-0.690843 8:-0.631358
-1 1:-0.364625 2:-1.039806 3:0.57946 4:0.301285 5:-0.523044 6:-0.26327 7:-0.136341 8:-0.395398
-1 1:-0.921552 2:-1.578151 3:1.268123 4:1.318315 5:0.266234 6:1.404103 7:-0.86404 8:-0.670893
1 1:0.548776 2:0.868793 3:-0.639125 4:-0.629928 5:-0.624798 6:-0.614912 7:0.506501 8:0.044383
1 1:0.878509 2:1.907733 3:-0.722008 4:-0.698692 5:-0.551549 6:-0.35021 7:0.008073 8:-0.316313
1 1:0.712838 2:0.144018 3:-0.710467 4:-0.600608 5:-0.681929 6:-1.221468 7:2.449171 8:3.403889
-1 1:-1.527537 2:-0.685937 3:1.390278 4:1.031021 5:-0.514471 6:-0.347413 7:-0.213896 8:-0.427422
-1 1:-1.241634 2:0.823795 3:0.884742 4:0.221812 5:2.080516 6:1.667782 7:-1.212073 8:-0.696621
1 1:0.961948 2:1.688657 3:-0.727653 4:-0.682615 5:-0.641038 6:-0.76374 7:0.700928 8:0.233359
1 1:1.117968 2:-0.078225 3:-0.693858 4:-0.625841 5:-0.680698 6:-1.190002 7:2.394282 8:2.981698
-1 1:-1.578606 2:-1.245454 3:1.612484 4:1.468204 5:-0.143142 6:0.444206 7:-0.695932 8:-0.626682
-1 1:-1.796752 2:-1.422577 3:2.14771 4:2.304913 5:0.82457 6:1.208069 7:-1.025118 8:-0.685975
1 1:0.636236 2:0.749993 3:-0.664235 4:-0.641535 5:-0.678419 6:-1.091743 7:2.003167 8:2.022491
1 1:0.533697 2:0.776373 3:-0.580918 4:-0.612966 5:-0.6529 6:-1.083543 7:0.928421 8:0.801493
1 1:0.801907 2:0.735677 3:-0.702003 4:-0.613083 5:-0.370555 6:0.218678 7:-0.535589 8:-0.587778
1 1:0.654532 2:-0.186075 3:-0.812313 4:-0.598721 5:-0.669502 6:-1.202876 7:1.913439 8:2.633704
-1 1:-1.740054 2:-1.688366 3:2.875819 4:3.759346 5:1.16342 6:1.419415 7:-1.040908 8:-0.687991
1 1:0.852975 2:1.296029 3:-0.701869 4:-0.676438 5:0.022804 6:1.062033 7:-0.827311 8:-0.667967
1 1:0.715251 2:0.349834 3:-0.789599 4:-0.606754 5:-0.490646 6:-0.051907 7:-0.263008 8:-0.475049
1 1:0.438999 2:0.248353 3:-0.742077 4:-0.628538 5:-0.600308 6:-0.598752 7:0.249538 8:-0.132317
-1 1:-1.679335 2:-1.458913 3:2.009363 4:2.109509 5:0.553501 6:0.942155 7:-0.953176 8:-0.675892
1 1:1.385172 2:0.891883 3:-0.906527 4:-0.64265 5:-0.477372 6:-0.015991 7:-0.286602 8:-0.486908
-1 1:-1.674912 2:-1.640714 3:2.330023 4:2.768685 5:1.309111 6:1.590649 7:-1.107408 8:-0.693939
-1 1:-0.753268 2:0.394283 3:0.539739 4:-0.008422 5:-0.647876 6:-0.940835 7:0.97414 8:0.593597
-1 1:-1.267772 2:-0.998515 3:1.332444 4:1.097223 5:0.322578 6:0.984432 7:-0.883212 8:-0.667168
-1 1:-0.310742 2:-0.885568 3:0.137515 4:-0.060643 5:-0.209693 6:0.709318 7:-0.655999 8:-0.626728
-1 1:-0.064045 2:-0.104915 3:-0.406547 4:-0.479471 5:-0.42474 6:0.161314 7:-0.381773 8:-0.527453
1 1:1.567933 2:1.169425 3:-1.009619 4:-0.642832 5:-0.649329 6:-0.895277 7:0.778066 8:0.364072
1 1:1.351596 2:-0.344797 3:-0.840453 4:-0.545663 5:-0.582596 6:-0.499473 7:0.087211 8:-0.255627
1 1:1.284041 2:1.667592 3:-0.887471 4:-0.69513 5:-0.678701 6:-1.199248 7:2.147603 8:2.745126
1 1:0.870869 2:1.300592 3:-0.781566 4:-0.65823 5:-0.185465 6:0.625173 7:-0.688893 8:-0.632973
-1 1:-1.808414 2:0.529331 3:1.205233 4:0.5682 5:2.013319 6:0.768711 7:-1.127767 8:-0.687797
1 1:0.978836 2:0.597547 3:-0.884838 4:-0.644588 5:-0.555705 6:-0.476847 7:-0.047516 8:-0.333314
-1 1:-2.025957 2:-1.401026 3:2.225982 4:2.443296 5:1.537351 6:0.600559 7:-1.009868 8:-0.67748
-1 1:-2.021534 2:-1.237707 3:2.187672 4:2.327148 5:1.065075 6:0.309029 7:-0.912924 8:-0.659958
-1 1:-1.940709 2:-1.200082 3:1.968707 4:1.955217 5:2.077914 6:0.969202 7:-1.093166 8:-0.690664
1 1:1.098465 2:0.494749 3:-0.845187 4:-0.664911 5:-0.456029 6:-0.126103 7:-0.422868 8:-0.538781
